,discoverymethod,st_spectype,pl_bmassj,pl_orbper,hostname,pl_radj
4181,Transit,,0.0227,25.85501786,Kepler-604,0.231
4182,Transit,,0.0167,49.276764,Kepler-1455,0.193
4183,Transit,K7 V,0.0166,59.87756,Kepler-61,0.192
4184,Transit,,0.0155,6.53044,K2-64,0.185
4185,Transit,,0.0207,7.49543,K2-73,0.219
4186,Transit,,0.0867,3.29030452,Kepler-1624,0.509
4187,Transit,,0.0612,10.08881,Kepler-222,0.414
4188,Transit,,0.0344,17.6046,Kepler-1663,0.295
4189,Transit,,0.0125,3.27646405,Kepler-1292,0.162
4190,Transit,,0.019,13.47469571,Kepler-1021,0.208
4191,Radial Velocity,K0 III,1.52,1123.0,HD 102329,1.21
4192,Transit,,0.0189,8.180848,Kepler-165,0.207
4193,Transit,G,1.323,2.516729,HATS-4,1.02
4194,Transit,,0.0221,15.906801,Kepler-156,0.227
4195,Transit,,0.00137,6.28385491,Kepler-1581,0.071
4196,Transit,,0.0416,2.711506,Kepler-234,0.33
4197,Transit,,0.00284,28.122397,Kepler-220,0.087
4198,Transit,,0.0215,56.228098,Kepler-239,0.224
4199,Transit,M1 V,0.0147,23.968127,Kepler-236,0.178
4200,Transit,,0.142,5.349555,Kepler-226,0.203
4201,Transit,,0.0372,308.5471,Kepler-1533,0.309
4202,Transit,,0.0415,7.20283653,Kepler-1627,0.329
4203,Transit,,0.0034,7.054346,Kepler-395,0.092
4204,Radial Velocity,K0,1.23,841.0,HD 99706,1.22
4205,Transit,,0.0131,28.1656,EPIC 201238110,0.167
4206,Transit,,0.0496,31.8099,KOI-7892,0.366
4207,Radial Velocity,M7.0 V,0.0033,4.91,Teegarden's Star,0.091
4208,Radial Velocity,G6,9.88,131.05,HD 156279,1.11
4209,Transit,,0.0132,4.34728553,Kepler-710,0.168
4210,Transit,,0.0162,9.694928,Kepler-308,0.189
4211,Transit,M0 V,0.0175,46.183669,Kepler-235,0.198
4212,Transit,M1 V,0.119,3.353728,Kepler-267,0.177
4213,Transit,,0.0252,9.653471,Kepler-304,0.245
4214,Transit,,0.0519,35.1810304,Kepler-584,0.376
4215,Transit,,0.0249,64.00205,Kepler-436,0.24
4216,Transit,,,2.81650485,Kepler-670,1.176
4217,Radial Velocity,M2.5 V,0.01919,55.661,GJ 357,0.209
4218,Transit,,0.441,4.8854892,Kepler-7,1.622
4219,Radial Velocity,,3.18,421.0,WASP-41,1.17
4220,Radial Velocity,M0.5,0.02832,24.16,GJ 685,0.263
4221,Transit,,1.29,3.5862202,HATS-68,1.232
4222,Radial Velocity,K0 III-IV,1.996,517.8,HD 202696,
4223,Imaging,F5 V,11.0,,HD 106906,1.11
4224,Transit,,0.0066,3.70921385,Kepler-466,0.112
4225,Transit,,0.22,288.822,Kepler-34,0.764
4226,Transit,,0.00859,14.51143,Kepler-389,0.13
4227,Transit,M,0.00126,1.2137672,Kepler-42,0.07
4228,Transit,,0.00972,4.612696,Kepler-356,0.14
4229,Transit,,118.0,3.00387658,Kepler-493,1.35
4230,Transit,,0.0138,11.79162572,Kepler-946,0.172
4231,Microlensing,,1.85,,OGLE-2012-BLG-0358L,1.2
4232,Transit,K5 V,2.31,3.1606296,POTS-1,0.941
4233,Transit,F4 V,1.88,2.032046,Qatar-7,1.7
4234,Transit,G0,0.783,2.972086,HAT-P-66,1.59
