,discoverymethod,st_spectype,pl_bmassj,pl_orbper,hostname,pl_radj
1163,Transit,,0.05034,240.503,Kepler-453,0.553
1164,Transit,,0.0214,10.06082567,Kepler-481,0.223
1165,Transit,,0.0183,10.04556931,Kepler-484,0.203
1166,Transit,,0.0043,10.423118,Kepler-392,0.098
1167,Radial Velocity,M3.5,0.00371,4.7234,GJ 273,0.094
1168,Transit,,0.0162,12.49341307,Kepler-479,0.189
1169,Transit,,0.0297,9.61375356,Kepler-498,0.27
1170,Transit,,0.0226,8.31378306,Kepler-461,0.23
1171,Transit,,0.145,17.27629612,Kepler-489,0.689
1172,Transit,K2 V,0.08306,7.834435,Kepler-411,0.394
1173,Transit,,0.00809,25.09849,Kepler-334,0.126
1174,Transit,,0.0303,67.844469,Kepler-335,0.274
1175,Transit,,0.0195,20.678772,Kepler-336,0.211
1176,Transit,,0.0153,9.693201,Kepler-337,0.183
1177,Transit,,0.046,10.558345,Kepler-339,0.104
1178,Transit,,0.0179,15.170318,Kepler-342,0.201
1179,Transit,,0.0149,23.22182,Kepler-343,0.18
1180,Transit,,0.0283,125.596809,Kepler-344,0.263
1181,Transit,,0.127,131.458,Kepler-35,0.728
1182,Transit,,0.0366,49.499875,Kepler-357,0.306
1183,Transit,,0.0329,4.17625551,Kepler-472,0.287
1184,Transit,,0.0168,5.63252845,Kepler-499,0.194
1185,Transit,,0.0092,7.05677,Kepler-348,0.136
1186,Transit,,0.0142,12.247629,Kepler-349,0.175
1187,Transit,,2.153,1.678327,Kepler-323,0.128
1188,Transit,,0.00553,34.21154,Kepler-332,0.105
1189,Transit,,0.0154,27.014976,Kepler-377,0.184
1190,Transit,,0.047,26.136,Kepler-350,0.25
1191,Transit,,0.00489,7.61760804,Kepler-1590,0.102
1192,Transit,,0.00859,11.03189,Kepler-355,0.13
1193,Transit,,0.0245,25.762294,Kepler-355,0.242
1194,Transit,,0.0128,11.189562,Kepler-350,0.165
1195,Transit,,0.0128,27.666313,Kepler-341,0.165
1196,Transit,,0.00692,9.387427,Kepler-345,0.107
1197,Transit,,0.00889,16.75255007,Kepler-1492,0.133
1198,Transit,,0.03839,39.7922,Kepler-37,0.173
1199,Transit,G2 V,0.29,10.290994,Kepler-427,1.23
1200,Transit,,0.00761,5.535309,Kepler-373,0.121
1201,Transit,,0.00651,16.725948,Kepler-373,0.111
1202,Transit,,0.00733,20.7056504,Kepler-1508,0.119
1203,Transit,,0.0133,34.763278,Kepler-371,0.169
1204,Transit,,0.00724,12.904532,Kepler-383,0.118
1205,Transit,,0.00651,31.200751,Kepler-383,0.111
1206,Transit,,0.0152,10.664903,Kepler-365,0.182
1207,Transit,,0.00678,11.829851,Kepler-404,0.113
1208,Transit,,0.0034,6.791636,Kepler-387,0.092
1209,Transit,,0.00201,11.837549,Kepler-387,0.079
1210,Transit,,0.00144,3.173315,Kepler-388,0.072
1211,Transit,,0.00178,13.297004,Kepler-388,0.077
1212,Transit,,0.00651,24.209842,Kepler-354,0.111
1213,Transit,,0.0265,17.833648,Kepler-410 A,0.253
1214,Transit,K2 V,0.08055,3.005156,Kepler-411,0.214
1215,Transit,,0.00072,8.703,Kepler-431,0.06
1216,Transit Timing Variations,,0.011,4.7,Kepler-414,0.153
1217,Transit,,1.1,86.67856,Kepler-418,1.2
1218,Transit Timing Variations,,9e-05,51.196,Kepler-37,
1219,Transit,K2 V,0.04782,58.02035,Kepler-411,0.296
1220,Transit,G2 IV,1.0,3.2467293,Kepler-44,1.09
1221,Transit,G9/K0,0.0508,704.1984,Kepler-421,0.371
1222,Transit,,0.00809,14.871572,Kepler-369,0.126
1223,Transit,,0.03776,21.302,Kepler-37,0.067
1224,Transit,M4,0.0215,4.871229,Kepler-445,0.22
1225,Transit,,0.0267,83.488369,Kepler-358,0.254
1226,Transit Timing Variations,,0.376,57.011,Kepler-46,1.21
1227,Transit,,0.00997,303.227,Kepler-47,0.415
1228,Transit,,0.0203,4.40840023,Kepler-717,0.216
1229,Transit,,0.0235,5.39202539,Kepler-721,0.236
1230,Transit,,0.0254,33.6727,Kepler-449,0.247
1231,Transit,,0.03933,15.413135,Kepler-450,0.234
1232,Transit,,0.02407,5.3988,Kepler-68,0.21
1233,Transit,K0 V,10.1,8.8849116,Kepler-75,1.05
1234,Transit,,0.213,8.09888799,Kepler-714,0.863
1235,Transit,G4 V,0.0178,13.722341,Kepler-69,0.2
1236,Transit,,0.0164,19.12947337,Kepler-813,0.191
1237,Transit,,0.194,10.52629406,Kepler-702,0.818
1238,Transit,,0.0363,23.58914398,Kepler-711,0.304
1239,Transit,,0.11,3.72873109,Kepler-673,0.583
1240,Transit,,0.011,2.24338185,Kepler-674,0.151
1241,Transit,,0.0259,6.36584161,Kepler-694,0.25
1242,Transit,,0.0205,2.33743801,Kepler-675,0.218
1243,Transit,,0.0426,10.00652995,Kepler-715,0.335
1244,Transit,,0.232,15.37563332,Kepler-693,0.908
1245,Transit,,0.248,1.6255222,Kepler-685,0.944
1246,Transit,,0.0293,39.30941904,Kepler-530,0.269
1247,Transit,M1 V,0.92,8.0109434,Kepler-54,0.187
1248,Transit,,0.0245,172.7049784,Kepler-540,0.242
1249,Transit,,,4.45419434,Kepler-548,1.07
1250,Transit,,1.11,42.1516418,Kepler-55,0.197
1251,Transit,,0.0142,5.83598311,Kepler-523,0.175
1252,Transit,,0.0233,18.68404933,Kepler-525,0.235
1253,Transit,,0.0221,8.39846269,Kepler-788,0.227
1254,Transit,,0.00606,3.17926292,Kepler-743,0.108
1255,Transit,,0.0109,2.61302086,Kepler-844,0.15
1256,Transit,,0.0152,0.92785982,Kepler-845,0.182
1257,Transit,,0.0111,6.91134416,Kepler-848,0.152
1258,Transit,,0.0849,51.92927591,Kepler-827,0.502
1259,Transit,,0.00909,0.56785714,Kepler-828,0.135
1260,Transit,,0.025,42.8961,Kepler-48,0.182
1261,Transit,,0.0327,30.229104,Kepler-483,0.286
1262,Transit,,112.0,3.2432598,Kepler-485,1.286
1263,Transit,,0.0878,24.85462415,Kepler-516,0.512
1264,Transit,,0.0136,7.97419807,Kepler-524,0.17
1265,Transit,,0.00264,1.88897906,Kepler-524,0.086
1266,Transit,,0.0142,28.59915399,Kepler-737,0.175
1267,Transit,,0.0214,24.58721573,Kepler-738,0.223
1268,Transit,,0.0287,7.03902374,Kepler-741,0.265
1269,Transit,,0.0105,7.33683936,Kepler-764,0.146
1270,Transit,,0.0162,8.63847725,Kepler-789,0.189
1271,Transit,,0.0167,9.93143556,Kepler-745,0.193
1272,Transit,,0.0162,20.4966197,Kepler-758,0.189
1273,Transit,,0.008,4.15244722,Kepler-770,0.125
1274,Transit Timing Variations,,0.06576,75.732,Kepler-82,0.432
1275,Transit,,0.00444,3.48159251,Kepler-746,0.099
1276,Transit,,0.00705,6.40087618,Kepler-796,0.116
1277,Transit,,0.0204,27.6655226,Kepler-765,0.217
1278,Transit,,0.00972,13.14497566,Kepler-542,0.14
1279,Transit,,0.03461,42.9495649,Kepler-549,0.229
1280,Transit,M0 V,0.014,12.04,Kepler-81,0.211
1281,Transit,,0.0138,4.59725385,Kepler-810,0.172
1282,Transit,K5,0.0218,7.05246,Kepler-80,0.238
1283,Transit,,0.0211,12.1097104,Kepler-758,0.221
1284,Transit,K5,0.00606,0.9867873,Kepler-80,0.108
1285,Transit,,,328.2399546,Kepler-553,0.999
1286,Transit,,0.0359,6.10027804,Kepler-766,0.302
1287,Transit,,0.00588,1.47532231,Kepler-770,0.107
1288,Transit,,0.0109,3.75574426,Kepler-778,0.15
1289,Transit,,0.00126,4.29264638,Kepler-783,0.07
1290,Transit,,0.00982,31.5922646,Kepler-784,0.141
1291,Transit,,0.0147,11.41928253,Kepler-801,0.178
1292,Transit,,0.0102,12.06222443,Kepler-744,0.145
1293,Transit,,0.0125,92.743711,Kepler-283,0.162
1294,Transit,,0.0111,11.29695137,Kepler-830,0.152
1295,Transit,,0.0168,27.07237711,Kepler-797,0.194
1296,Transit,,0.011,4.75793986,Kepler-758,0.151
1297,Transit,,0.0198,13.71933369,Kepler-798,0.213
1298,Transit,,0.119,133.4605235,Kepler-799,0.614
1299,Transit,,0.0182,16.54964934,Kepler-589,0.203
1300,Transit,,18.86,5.7293196,Kepler-57,0.195
1301,Transit,,0.0271,21.21708973,Kepler-593,0.256
1302,Orbital Brightness Modulation,F,2.01,1.5449298,Kepler-76,1.36
1303,Transit,,0.00678,5.62153941,Kepler-831,0.113
1304,Transit,,0.0282,40.101371,Kepler-58,0.262
1305,Transit,,0.0233,40.6069821,Kepler-581,0.235
1306,Transit,,0.0264,2.75235975,Kepler-585,0.252
1307,Transit,,1.37,17.9801235,Kepler-59,0.177
1308,Transit,,0.0359,81.1694299,Kepler-591,0.302
1309,Transit,,0.59,3.5224991,Kepler-8,1.416
1310,Transit,,0.0388,10.11716531,Kepler-812,0.317
1311,Transit,,0.0195,21.38521506,Kepler-651,0.211
1312,Transit,,0.017,13.73469807,Kepler-790,0.194
1313,Transit,,0.0116,10.35584657,Kepler-615,0.155
1314,Transit,,0.00771,4.24153639,Kepler-793,0.122
1315,Transit,,0.016,11.13125132,Kepler-794,0.188
1316,Transit,,0.0386,40.0587473,Kepler-802,0.316
1317,Transit,,0.0093,3.77360059,Kepler-825,0.136
1318,Transit,,0.023,37.514456,Kepler-284,0.233
1319,Transit,,0.0293,12.39358604,Kepler-679,0.269
1320,Transit,,0.00869,5.72812599,Kepler-777,0.131
1321,Transit,,0.0106,2.4370333,Kepler-611,0.147
1322,Transit,,0.0636,23.20584623,Kepler-637,0.424
1323,Transit,,0.0197,10.21420496,Kepler-639,0.212
1324,Transit,,0.0302,8.70419416,Kepler-760,0.273
1325,Transit,,0.0162,6.1469851,Kepler-814,0.189
1326,Transit,,0.00178,2.35895152,Kepler-605,0.077
1327,Transit,,0.0274,30.8638931,Kepler-805,0.258
1328,Transit,,,3.85560355,Kepler-731,1.238
1329,Transit,,0.0363,21.02247699,Kepler-712,0.304
1330,Transit,,0.0233,4.09357325,Kepler-722,0.235
1331,Transit,,0.0203,3.68992629,Kepler-680,0.216
1332,Transit,,0.00189,25.216751,Kepler-85,0.113
1333,Transit,,0.0204,9.99761851,Kepler-616,0.217
1334,Transit,,0.0229,3.59576964,Kepler-618,0.232
1335,Transit,,0.0121,15.9870174,Kepler-769,0.16
1336,Transit,,0.202,33.006,Kepler-277,0.3
1337,Transit,,0.0659,226.89047,Kepler-712,0.433
1338,Transit,,0.0127,20.42228798,Kepler-887,0.164
1339,Transit,F8 V,0.63,7.340711,Kepler-74,0.96
1340,Transit,,0.0266,10.35533177,Kepler-701,0.253
1341,Transit,,0.0596,3.58410122,Kepler-740,0.408
1342,Transit,,0.0984,4.19042557,Kepler-696,0.548
1343,Transit,,,1.59474546,Kepler-686,1.084
1344,Radial Velocity,K2 V,1.04,268.94,BD+14 4559,1.23
1345,Transit,,,1.97376093,Kepler-785,1.162
1346,Transit,,0.00126,0.90037648,Kepler-653,0.07
1347,Transit,,0.0312,1.26025909,Kepler-656,0.278
1348,Transit,G0 V,0.0259,17.815815,Kepler-66,0.25
1349,Transit,,0.134,12.61190667,Kepler-682,0.658
1350,Transit,,0.0498,8.57503552,Kepler-815,0.367
1351,Transit,,0.04373,51.54,Kepler-82,0.476
1352,Transit,,0.0149,13.32388301,Kepler-834,0.18
1353,Transit,,0.00588,15.86621821,Kepler-907,0.107
1354,Transit,,0.012,7.19303878,Kepler-850,0.159
1355,Transit,,0.0163,71.4517775,Kepler-930,0.19
1356,Transit,,0.029,49.6221509,Kepler-978,0.267
1357,Transit,,0.0247,8.0880135,Kepler-979,0.243
1358,Transit,,0.019,7.05395,Kepler-783,0.208
1359,Transit,,0.0238,9.97683705,Kepler-963,0.237
1360,Transit,,0.0261,18.82747265,Kepler-752,0.251
1361,Transit,,0.0118,1.26909037,Kepler-755,0.157
1362,Transit,,0.032,11.0895723,Kepler-774,0.283
1363,Transit,,0.00859,0.63133235,Kepler-808,0.13
1364,Transit,,0.0217,7.40742793,Kepler-748,0.225
1365,Transit,,0.0125,12.99207337,Kepler-772,0.162
1366,Transit,,0.00687,4.89718784,Kepler-776,0.114
1367,Transit,,0.0109,29.6193421,Kepler-795,0.15
1368,Transit,,0.00489,9.65185017,Kepler-804,0.102
1369,Transit,,0.0407,198.7112502,Kepler-967,0.326
1370,Transit,,0.011,5.70940492,Kepler-968,0.151
1371,Transit,,0.039,6.10485286,Kepler-734,0.318
1372,Transit,,0.0303,9.42887179,Kepler-750,0.274
1373,Transit,,0.0102,4.08899022,Kepler-750,0.145
1374,Transit,,0.00761,1.02267882,Kepler-757,0.121
1375,Transit,,0.015,10.12804789,Kepler-761,0.181
1376,Transit,,0.00624,1.19655156,Kepler-763,0.109
1377,Radial Velocity,G5 V,0.32,6.959,NGC 2682 YBP 1194,1.1
1378,Transit,,0.0399,40.4287755,Kepler-869,0.322
1379,Transit,M0 V,0.054,5.955,Kepler-81,0.216
1380,Transit,,0.0162,18.45847097,Kepler-877,0.189
1381,Transit,,0.00771,1.9214374,Kepler-932,0.122
1382,Transit,,132.0,2.14463285,Kepler-854,1.492
1383,Transit,,0.00227,7.09714223,Kepler-779,0.082
1384,Transit,,0.0138,25.9422033,Kepler-878,0.172
1385,Transit,,0.166,7.8866311,Kepler-855,0.745
1386,Transit,,0.0155,49.3568,Kepler-92,0.184
1387,Transit,,0.0131,4.51436633,Kepler-824,0.167
1388,Transit,,0.0224,33.3855938,Kepler-879,0.229
1389,Transit,,0.199,8.02768059,Kepler-856,0.83
1390,Transit,,0.072,10.03538581,Kepler-818,0.456
1391,Transit,,0.0078,4.40966548,Kepler-914,0.123
1392,Transit,,0.117,85.35129427,Kepler-857,0.607
1393,Transit,,0.0109,8.50699658,Kepler-851,0.15
1394,Transit,,0.242,117.93108781,Kepler-807,0.93
1395,Transit,,0.0066,4.48758907,Kepler-826,0.112
1396,Transit,,0.0113,9.1149903,Kepler-927,0.153
1397,Transit,,0.0174,3.14866453,Kepler-862,0.197
1398,Microlensing,,0.18,,OGLE-2008-BLG-092L,0.78
1399,Transit,,0.0249,11.36112327,Kepler-836,0.244
1400,Transit,,0.0332,5.10137945,Kepler-860,0.289
1401,Transit,,0.0426,20.5533844,Kepler-873,0.335
1402,Transit,,0.0463,40.0686727,Kepler-874,0.352
1403,Transit,,0.00849,10.56134221,Kepler-936,0.129
1404,Transit,,0.0275,15.59461874,Kepler-863,0.259
1405,Transit,,0.00899,4.59489604,Kepler-915,0.134
1406,Transit,,0.0277,8.6893073,Kepler-949,0.26
1407,Transit,,0.0839,71.52530845,Kepler-951,0.499
1408,Transit,,0.03823,26.44,Kepler-82,0.363
1409,Transit,,0.0612,150.242127,Kepler-867,0.414
1410,Transit,,0.0149,18.7546998,Kepler-833,0.18
1411,Transit,,0.0256,21.3587621,Kepler-870,0.248
1412,Transit,,0.02,5.83376092,Kepler-864,0.214
1413,Transit,,0.0213,14.16399294,Kepler-865,0.222
1414,Transit,,0.00809,5.08274652,Kepler-905,0.126
1415,Transit,,0.00474,7.63846023,Kepler-887,0.101
1416,Transit,,0.0105,1.592851,Kepler-9,0.146
1417,Transit,,0.0424,22.0459018,Kepler-871,0.334
1418,Transit,,0.0238,7.71468975,Kepler-880,0.237
1419,Transit,,0.0256,9.803224,Kepler-894,0.248
1420,Transit,,0.13655,19.23891,Kepler-9,0.74
1421,Transit,,0.00724,14.44912,KOI-351,0.118
1422,Transit,,0.00642,3.98953967,Kepler-882,0.11
1423,Transit,,0.012,12.98495573,Kepler-883,0.159
1424,Transit,,0.202,13.749,Kepler-92,0.313
1425,Transit,,0.0203,6.53192704,Kepler-920,0.216
1426,Transit,,0.00444,0.92103214,Kepler-929,0.099
1427,Transit,,0.00651,49.4643,Kepler-47,0.272
1428,Transit,,0.00771,3.51749439,Kepler-901,0.122
1429,Transit,,0.0148,10.3507721,Kepler-903,0.179
1430,Transit,,0.042,67.668827,Kepler-937,0.332
1431,Transit,,0.0208,14.20443009,Kepler-933,0.219
1432,Transit,,0.0158,55.6738309,Kepler-934,0.186
1433,Transit,,0.0183,26.9644317,Kepler-947,0.203
1434,Transit,,0.0664,76.13602028,Kepler-858,0.434
1435,Transit,,0.035,59.6225257,Kepler-940,0.298
1436,Transit,,0.0259,2.53475627,Kepler-912,0.25
1437,Transit,,0.0136,2.97041437,Kepler-917,0.17
1438,Transit,,0.0436,100.8274113,Kepler-920,0.339
1439,Radial Velocity,,3.0,1460.0,Kepler-93,
1440,Transit,,0.027,16.2385,Kepler-96,0.238
1441,Transit,,0.0193,13.22713379,Kepler-967,0.21
1442,Transit,,0.00588,17.91323,Kepler-85,0.107
1443,Transit,K3 V,0.79,3.72247,WASP-11,1.11
1444,Transit,G1,0.475,4.54216875,WASP-113,1.409
1445,Transit,G0,1.769,1.5487743,WASP-114,1.339
1446,Transit,M3,0.04248,10.894843,TOI-1266,0.211
1447,Transit,,0.0258,11.41909375,Kepler-835,0.249
1448,Transit,G2,10.39,3.57532,CoRoT-27,1.007
1449,Transit,,0.01982,0.36931,K2-131,0.152
1450,Transit,G9 V,0.02256,5.19672,TOI-421,0.239
1451,Transit,,0.36,4.35301,WASP-13,1.22
1452,Imaging,M2.5 V,16.0,,USco1621 A,1.09
1453,Transit,,0.0194,60.0855082,Kepler-983,0.211
1454,Transit,,0.0336,105.3033148,Kepler-987,0.291
1455,Transit,,0.0174,7.96431535,Kepler-989,0.197
1456,Transit,,0.00761,2.70730672,Kepler-997,0.121
1457,Transit,,0.022,82.5342519,Kepler-991,0.227
1458,Transit,M1 V,0.01447,1.4015,L 168-9,0.124
1459,Transit,M3 V,0.00318,2.2531,L 98-59,0.071
1460,Microlensing,,0.83,,MOA-2007-BLG-400L,1.24
1461,Microlensing,,0.0736,,MOA-2008-BLG-310L,0.462
1462,Transit,G9 V,0.05166,16.06819,TOI-421,0.454
1463,Transit,,0.0293,55.63934,Kepler-809,0.269
1464,Transit,K0,0.236,24.1396,V1298 Tau,0.916
1465,Transit,,0.0305,17.42395198,Kepler-941,0.275
1466,Transit,M5,0.00708,0.46292913,LHS 3844,0.116
1467,Transit,,0.011,2.58664,Kepler-97,0.132
1468,Transit,,0.0614,7.03932553,Kepler-972,0.415
1469,Transit,,0.0142,49.6077331,Kepler-973,0.175
1470,Transit,,0.0093,0.53835431,Kepler-990,0.136
1471,Transit,,0.0189,5.65377733,Kepler-998,0.207
1472,Microlensing,,0.0211,,MOA-2012-BLG-505L,0.221
1473,Transit,,0.0555,14.80074836,Kepler-959,0.391
1474,Transit,,0.0118,70.6979061,Kepler-888,0.157
1475,Transit,,0.01,1.15116651,Kepler-994,0.143
1476,Transit,,1.339,0.882059,NGTS-6,1.326
1477,Transit,,0.0502,99.747622,Kepler-966,0.368
1478,Eclipse Timing Variations,,2.3,3160.0,NY Vir,1.19
1479,Eclipse Timing Variations,,5.54,8799.0,NY Vir,1.14
1480,Microlensing,,11.6,,MOA-2011-BLG-322L,1.11
1481,Microlensing,,0.106,,MOA-2015-BLG-337L,0.572
1482,Microlensing,,0.88,,OGLE-2011-BLG-0265L,1.24
1483,Transit,,0.01888,207.62,Kepler-462,0.357
1484,Transit,,0.00879,2.46697439,Kepler-760,0.132
1485,Microlensing,,8.4,,MOA-2012-BLG-006L,1.12
1486,Radial Velocity,K3 III,6.69,121.71,NGC 2682 Sand 364,1.13
1487,Transit,K,0.344,35.45533,NGTS-11,0.817
1488,Transit,,4.84,4.119027,NGTS-13,1.142
1489,Transit,K1 V,0.092,3.5357173,NGTS-14 A,0.444
1490,Radial Velocity,K0 V,0.0334,29.158,HD 20781,0.29
1491,Radial Velocity,M1.5V,0.017,35.68,GJ 832,0.195
1492,Radial Velocity,K0 III,6.5,495.4,HD 60292,1.13
1493,Microlensing,,9.51,,OGLE-2013-BLG-0911L,1.12
1494,Microlensing,,0.00522,,OGLE-2013-BLG-0341L B,0.104
1495,Transit,,0.0343,7.25696522,Kepler-464,0.294
1496,Transit,,0.0287,22.08557563,Kepler-993,0.265
1497,Microlensing,,0.017,3285.0,OGLE-2005-BLG-390L,0.197
1498,Transit,K0,0.179,60.0,V1298 Tau,0.78
1499,Transit,,0.0221,38.5053398,Kepler-1043,0.227
1500,Microlensing,,0.29,,OGLE-2013-BLG-0132L,1.03
1501,Transit,K0,0.106,12.4032,V1298 Tau,0.572
1502,Transit,,1.03,3.67724,OGLE-TR-211,1.36
1503,Microlensing,,11.28,,OGLE-2017-BLG-1375L,1.11
1504,Microlensing,,0.014,,OGLE-2017-BLG-1434L,0.175
1505,Transit,F7 V,0.736,1.645321,Qatar-10,1.543
1506,Transit,,0.00201,1.9078052,Kepler-1027,0.079
1507,Transit,G0 IV,0.114,83.8911,TOI-813,0.599
1508,Imaging,M0,16.0,,ROXs 12,1.09
1509,Imaging,M9,14.0,7300000.0,Oph 11,1.1
1510,Radial Velocity,,2.5,198.4,TYC 1422-614-1,1.18
1511,Transit,,2.37,4.720219,TOI-1333,1.396
1512,Transit,K,0.01501,3.23845,TOI-178,0.149
1513,Pulsar Timing,,0.01353,66.5419,PSR B1257+12,0.17
1514,Pulsar Timing,,0.01227,98.2114,PSR B1257+12,0.161
1515,Radial Velocity,,6.1,193.2,TYC 0434-04538-1,1.14
1516,Radial Velocity,,10.0,559.3,TYC 1422-614-1,1.11
1517,Radial Velocity,,10.78,101.54,TYC 4282-00605-1,1.11
1518,Transit,,2.494,1.33711647,Qatar-2,1.254
1519,Transit,K0 V,0.04279,19.98,TOI-125,0.261
1520,Transit,,1.79,1.48224686,TrES-5,1.194
1521,Transit,K4 V,0.0581,1.392978,TOI-824,0.261
1522,Transit,,9.7,1.796,SWEEPS-11,1.13
1523,Transit,G0 V,0.01517,6.2679,HD 39091,0.182
1524,Radial Velocity,M4.5,0.00236,1.96876,YZ Cet,0.083
1525,Radial Velocity,K1V,0.611,4319.0,HD 114783,1.26
1526,Transit,G,0.12299,0.76552414,TOI-849,0.307
1527,Transit,,0.00267,1.51087081,TRAPPIST-1,0.097
1528,Transit,,0.0094,2.80624233,Kepler-895,0.137
1529,Transit,,0.173,4.7423729,HATS-46,0.903
1530,Transit,F9,0.6,3.37265,WASP-124,1.24
1531,Transit,K0,0.117,5.924262,WASP-139,0.8
1532,Transit,F6 V,2.79,3.656333,WASP-158,1.07
1533,Transit,F9,0.55,3.840401,WASP-159,1.38
1534,Transit,K0 V,0.278,3.7684952,WASP-160 B,1.09
1535,Transit,G6,0.658,3.465509,WASP-165,1.26
1536,Radial Velocity,G3 III,3.0,691.9,75 Cet,1.17
1537,Transit,,,3.7705521,Kepler-762,1.131
1538,Transit,,2.63,2.71866,WASP-32,0.96
1539,Transit,F1 V,8.0,2.0219596,WASP-167,1.58
1540,Transit,F8,0.561,5.6114118,WASP-169,1.304
1541,Transit,,1.6,2.34478022,WASP-170,1.096
1542,Transit,,0.0211,6.61833,Kepler-266,0.221
1543,Transit,A1 IV-V,1.66,3.3448285,WASP-178,1.81
1544,Transit,,0.0168,11.54182,K2-243,0.194
1545,Transit,,0.96,3.0566527,HATS-63,1.207
1546,Transit,,0.00328,5.599308,Kepler-197,0.091
1547,Transit,,0.00624,3.80464,K2-166,0.109
1548,Radial Velocity,K3 V,0.89,298.2,HD 128356,1.24
1549,Transit,M3.0 V,0.0163,11.38014,TOI-270,0.19
1550,Radial Velocity,M1.5 V,0.014,256.2,GJ 667 C,0.177
1551,Transit,G1 V,0.67,3.53269,WASP-22,1.23
1552,Radial Velocity,K3 V,0.00541,7.28243,HD 215152,0.105
1553,Transit,,0.00717,10.616646,K2-185,0.117
1554,Radial Velocity,M4,0.0258,11.949,GJ 3082,0.249
1555,Transit,K7-M0 V,0.538,3.06785234,WASP-80,0.999
1556,Transit,G9 V,0.00317,4.34882,K2-32,0.09
1557,Radial Velocity,G0V,1.64,14002.0,47 UMa,1.2
1558,Transit,K7.5 V,0.018,10.93241,K2-5,0.202
1559,Radial Velocity,M4,0.00727,40.54,GJ 3323,0.118
1560,Radial Velocity,K0 V,4.66,1773.40002,14 Her,1.15
1561,Transit,G2 V,0.97,5.01718,WASP-58,1.43
1562,Transit,G7,0.922,2.96264036,WASP-98,1.144
1563,Transit,F8,2.43,5.75251,WASP-99,1.02
1564,Transit,G7,1.271,1.5732918,WASP-64,1.271
1565,Transit,G6,1.55,2.3114243,WASP-65,1.112
1566,Transit,G0,1.08,5.0843,WASP-68,1.32
1567,Transit,F5 V,7.29,3.19154,XO-3,1.41
1568,Transit,F5,4.4,3.7650007,XO-6,2.07
1569,Transit,M1 V,0.319,3.3252725,HATS-6,0.998
1570,Transit,F9,1.07,2.484193,WASP-75,1.27
1571,Transit,F7,0.92,1.809886,WASP-76,1.83
1572,Radial Velocity,G9 III,8.3,199.505,HD 104985,1.12
1573,Radial Velocity,K5 III,6.47,628.96,alf Tau,1.13
1574,Radial Velocity,K0 III,22.206,530.21,nu Oph,1.07
1575,Transit,F6,0.63,3.916243,WASP-90,1.63
1576,Radial Velocity,G,12.4,13.481,HD 87646,1.1
1577,Radial Velocity,M2,0.00887,14.628,GJ 625,0.133
1578,Radial Velocity,M3.5,0.01073,17.8719,Wolf 1061,0.148
1579,Radial Velocity,K0,1.54,2754.0,HD 87883,1.21
1580,Transit,G0 V,0.709,2.8641424,XO-7,1.373
1581,Radial Velocity,K0 III,1.38,88.9,HIP 67851,1.21
1582,Radial Velocity,G2 V,0.0372,271.6737,HD 31527,0.309
1583,Transit,,0.0377,15.87209,K2-225,0.311
1584,Radial Velocity,M2 V,18.37,1.3283,HD 41004 B,1.08
1585,Imaging,M7.25,16.0,,FU Tau,1.09
1586,Transit,,0.0057,0.97486893,Kepler-775,0.106
1587,Radial Velocity,,6.4,481.9,BD+03 2562,1.13
1588,Radial Velocity,M3.5 V,0.01384,17.478,GJ 682,0.173
1589,Radial Velocity,G8 V,3.878,5574.2,55 Cnc,1.16
1590,Radial Velocity,G9 III,2.8,136.75,xi Aql,1.18
1591,Imaging,M8,5.0,,2MASS J12073346-3932539,1.15
1592,Radial Velocity,G1 V,2.3,491.54,HD 147873,1.19
1593,Radial Velocity,K2 II,55.59,379.63,BD+20 2457,1.03
1594,Transit,A8 V,1.41,2.4653,HAT-P-57,1.74
1595,Radial Velocity,G0,8.06,2473.0,HD 74156,1.12
1596,Radial Velocity,G0,0.00698,2.178,HD 158259,
1597,Radial Velocity,K3 V,0.00905,25.1967,HD 215152,0.134
1598,Transit,,1.484,1.9616241,HAT-P-53,1.318
1599,Radial Velocity,K3 III,27.1,1047.1,HD 81817,1.06
1600,Transit,G8,0.62,3.039577,HAT-P-27,1.02
1601,Radial Velocity,G1 V,0.45,1628.0,HD 86226,1.28
1602,Radial Velocity,G0 V,0.68,1313.0,HD 8535,1.25
1603,Transit,K,0.724,2.29840551,HAT-P-68,1.072
1604,Radial Velocity,M4 V,2.2756,61.1166,GJ 876,1.19
1605,Transit,G5,0.267,4.640382,HAT-P-38,0.825
1606,Transit,F9,0.3,10.02165,WASP-117,1.06
1607,Transit,F8,0.88,5.72319,HAT-P-29,1.17
1608,Radial Velocity,F8,1.48,2.1378431,HD 86081,1.21
1609,Radial Velocity,F7 V,7.0,1475.0,HD 86264,1.13
1610,Radial Velocity,G2 V,0.58,472.3,HD 44219,1.26
1611,Transit,,0.00245,6.11009134,Kepler-1169,0.084
1612,Transit,F,0.671,3.056536,HAT-P-4,1.274
1613,Transit,G1 V,0.02281,3.98442,HD 86226,0.193
1614,Transit,,0.00328,2.78786839,Kepler-1150,0.091
1615,Radial Velocity,M3 V,1.0,1882.0,GJ 849,1.23
1616,Radial Velocity,K2 III,6.0,480.5,HD 66141,1.14
1617,Radial Velocity,K0,10.63,482.0,HD 95127,1.11
1618,Radial Velocity,K0.5 V,0.13353,55.087,HD 95338,0.347
